"","cuidador","leer","jugar","salir","vertv","deporte","dispositivoselectronicos","valor"
"346",2,0,1,0,0,0,0,1
"347",2,1,0,0,0,0,0,1
"348",2,0,0,0,0,0,0,0
"349",2,0,0,3,1,0,0,4
"350",2,0,0,0,0,0,0,0
"351",2,1,0,0,0,0,0,1
"352",2,0,0,0,1,0,0,1
"353",5,2,2,2,2,2,2,12
"354",2,0,0,2,1,0,0,3
"355",2,0,2,0,2,0,0,4
"356",2,0,1,1,1,0,0,3
"357",2,0,0,2,1,0,0,3
"358",2,0,1,0,1,0,0,2
"359",2,0,1,2,1,1,0,5
"360",2,2,1,0,1,0,0,4
"361",2,0,0,0,0,0,0,0
"362",2,0,2,2,1,0,0,5
"363",2,2,0,2,1,0,2,7
"364",2,0,0,1,1,0,0,2
"365",5,1,1,4,0,0,0,6
"366",2,0,0,3,2,0,2,7
"367",2,2,2,3,0,0,0,7
"368",2,1,0,4,0,0,0,5
"369",1,0,1,3,1,2,0,7
"370",3,2,2,3,3,2,0,12
"371",3,0,0,2,0,0,0,2
"372",2,2,3,3,1,3,0,12
"373",2,0,0,2,1,0,0,3
"374",2,3,0,0,0,0,0,3
"375",2,4,0,0,0,0,0,4
"376",2,0,0,0,0,0,0,0
"377",2,2,0,0,0,0,0,2
"378",2,2,0,0,0,0,0,2
"379",2,1,2,0,0,0,0,3
"380",1,0,0,0,1,0,0,1
"381",1,0,0,0,1,0,0,1
"382",2,0,0,0,1,0,0,1
"383",2,2,0,0,0,0,0,2
"384",2,2,0,0,0,0,2,4
"385",2,2,0,0,0,0,0,2
"386",2,0,0,0,0,0,0,0
"387",2,0,0,0,0,0,0,0
"388",1,0,0,0,1,1,0,2
"389",1,0,0,0,1,0,0,1
"390",2,0,4,0,0,0,0,4
"391",2,0,0,0,0,0,0,0
"392",2,0,0,0,0,0,0,0
"393",2,0,0,0,2,0,0,2
"394",2,0,0,1,1,0,1,3
"395",2,0,0,0,3,3,0,6
"396",6,0,0,0,0,0,0,0
"397",2,0,0,0,0,0,0,0
"398",5,0,0,0,0,2,0,2
"399",2,0,0,0,2,0,2,4
"400",3,0,0,0,0,0,0,0
"401",2,0,2,0,0,0,0,2
"402",2,0,3,0,0,0,0,3
"403",2,2,0,0,1,0,0,3
"404",3,0,0,0,0,0,0,0
"405",2,0,0,0,0,0,0,0
"406",2,3,0,0,1,0,0,4
"407",2,0,0,0,0,0,0,0
"408",2,2,0,2,0,0,1,5
"409",2,0,1,4,0,0,0,5
"410",2,0,0,2,1,0,0,3
"411",2,0,2,0,3,0,0,5
"412",2,0,0,0,0,0,0,0
"413",2,0,0,3,1,0,0,4
"414",2,2,0,0,0,0,0,2
"415",2,0,3,2,3,0,0,8
"416",2,0,2,3,3,0,0,8
"417",2,3,0,0,0,0,0,3
"418",2,3,3,0,0,0,0,6
"419",2,0,0,0,0,0,0,0
"420",2,0,2,0,0,0,0,2
"421",2,0,3,3,0,0,0,6
"422",3,0,0,0,0,0,0,0
"423",2,0,0,0,0,0,0,0
"424",1,0,1,0,1,0,0,2
"425",2,0,2,0,0,0,0,2
"426",2,0,2,2,2,0,1,7
"427",1,0,1,3,1,0,0,5
"428",2,0,2,2,0,0,0,4
"429",2,0,0,0,0,0,0,0
"430",2,0,0,0,0,0,0,0
"431",1,0,2,0,2,0,0,4
"432",2,0,0,0,0,0,0,0
"433",2,0,1,0,0,0,0,1
"434",1,0,2,0,0,0,0,2
"435",1,0,0,0,0,0,0,0
"436",2,0,2,0,0,0,0,2
"437",2,0,0,0,0,0,0,0
"438",2,0,0,0,1,0,0,1
"439",1,0,0,0,0,0,0,0
"440",2,0,1,0,0,0,0,1
"441",2,0,0,0,1,0,1,2
"442",2,0,1,0,1,0,0,2
"443",1,1,1,0,0,0,0,2
"444",2,1,1,0,1,0,0,3
"445",5,1,0,0,0,0,0,1
"446",2,0,0,0,1,0,0,1
"447",2,4,3,0,4,0,0,11
"448",2,1,1,0,1,0,0,3
"449",1,1,1,0,1,0,0,3
"450",1,1,0,0,1,0,0,2
"451",2,0,0,4,0,0,0,4
"452",1,0,2,0,1,0,0,3
"453",2,0,2,0,1,0,0,3
"454",1,2,1,0,1,0,0,4
"455",1,0,2,0,1,0,0,3
"456",1,0,0,2,1,0,0,3
"457",1,0,0,2,1,0,0,3
"458",2,0,0,0,0,0,0,0
"459",1,0,0,2,0,0,0,2
"460",1,0,0,2,0,0,0,2
"461",2,0,0,0,0,0,0,0
"462",2,0,0,0,0,0,0,0
"463",2,0,0,0,0,0,0,0
"464",1,0,0,0,0,0,0,0
"465",1,0,0,2,2,0,0,4
"466",1,0,0,0,0,0,0,0
"467",1,0,0,0,0,0,0,0
"468",1,0,0,2,1,0,0,3
"469",2,0,0,0,0,0,0,0
"470",2,0,0,0,0,0,0,0
"471",2,0,0,0,0,0,0,0
"472",2,0,0,2,1,0,0,3
"473",2,0,2,0,1,0,0,3
"474",2,0,0,0,0,0,0,0
"475",2,0,0,0,1,0,0,1
"476",2,0,0,0,0,0,0,0
"477",2,0,0,0,0,0,0,0
"478",2,0,0,0,1,0,0,1
"479",2,0,0,0,0,0,0,0
"480",1,0,0,3,3,0,0,6
"481",2,0,0,0,0,0,1,1
"482",2,0,0,0,0,0,0,0
"483",1,0,0,2,2,0,0,4
"484",1,0,0,0,1,0,0,1
"485",1,0,0,0,0,0,2,2
"486",2,0,0,0,1,0,0,1
"487",1,0,0,0,1,0,0,1
"488",1,0,1,0,4,0,0,5
"489",5,0,0,0,1,0,0,1
"490",2,0,1,0,0,0,0,1
"491",1,0,0,0,0,0,0,0
"492",5,0,0,0,0,0,0,0
"493",3,0,0,0,0,0,0,0
"494",2,0,1,0,0,0,0,1
"495",2,0,0,0,0,0,0,0
"496",1,0,0,0,0,0,0,0
"497",2,0,0,0,1,0,0,1
"498",2,1,1,2,1,0,0,5
"499",2,1,0,0,1,0,0,2
"500",1,0,0,0,1,0,0,1
"501",2,0,0,0,0,0,0,0
"502",2,0,1,0,0,0,0,1
"503",2,0,0,0,0,0,0,0
"504",2,0,0,0,0,0,0,0
"505",1,0,1,0,1,0,0,2
"506",1,0,1,0,1,0,0,2
"507",2,0,0,0,0,0,0,0
"508",2,0,0,0,0,0,0,0
"509",2,0,0,0,0,0,0,0
"510",2,0,0,0,0,0,0,0
"511",2,0,1,0,0,0,0,1
"512",2,0,0,0,0,0,0,0
"513",1,2,2,0,1,0,0,5
"514",1,0,0,0,2,0,0,2
"515",8,0,1,0,0,0,0,1
"516",2,0,0,0,0,0,0,0
"517",2,0,1,0,1,0,0,2
"518",8,2,1,0,1,0,0,4
"519",8,1,0,0,1,0,0,2
"520",1,2,0,0,0,0,0,2
"521",1,0,0,0,3,0,0,3
"522",1,0,2,0,0,0,0,2
"523",1,0,0,0,1,0,0,1
"524",5,0,1,0,0,0,0,1
"525",2,1,0,0,0,0,0,1
"526",2,0,1,0,0,2,0,3
"527",2,0,2,0,1,0,0,3
"528",2,0,0,0,0,0,0,0
"529",2,0,0,0,0,0,0,0
"530",1,0,0,0,0,0,0,0
"531",2,0,0,0,0,0,0,0
"532",1,0,0,0,0,0,0,0
"533",2,0,0,0,2,0,1,3
"534",1,0,0,4,1,0,0,5
"535",1,0,1,0,1,0,0,2
"536",2,0,1,3,1,0,0,5
"537",2,0,0,0,2,0,1,3
"538",2,0,0,0,2,0,1,3
"539",2,0,0,0,0,0,0,0
"540",2,0,0,0,1,0,0,1
"541",2,0,0,0,0,0,0,0
"542",1,0,1,2,1,0,0,4
"543",2,0,0,0,0,0,0,0
"544",1,0,0,0,1,0,0,1
"545",2,0,0,0,0,0,0,0
"546",1,0,1,0,0,0,0,1
"547",2,0,0,0,0,0,0,0
"548",2,0,0,0,0,0,0,0
"549",2,0,1,0,1,0,0,2
"550",2,0,1,0,1,0,0,2
"551",1,2,2,2,1,0,0,7
"552",1,2,1,2,0,0,0,5
"553",1,0,1,0,1,0,0,2
"554",6,2,0,0,0,0,0,2
"555",1,2,0,4,1,0,0,7
"556",2,0,0,0,0,0,0,0
"557",2,2,2,0,2,0,0,6
"558",2,0,0,2,1,0,0,3
"559",2,0,0,0,1,0,0,1
"560",1,1,0,0,1,0,1,3
"561",1,0,0,0,0,3,0,3
"562",2,0,2,0,0,0,0,2
"563",2,0,0,0,0,0,0,0
"564",2,0,0,0,1,0,0,1
"565",2,0,0,0,0,0,0,0
"566",5,0,0,0,0,0,0,0
"567",1,2,1,4,1,1,1,10
"568",2,0,2,0,1,0,2,5
"569",2,0,1,3,0,0,1,5
"570",1,0,2,0,0,0,2,4
"571",2,3,0,4,1,0,0,8
"572",5,0,1,1,1,0,0,3
"573",2,0,1,0,1,0,0,2
"574",5,0,0,0,1,0,0,1
"575",1,1,0,0,1,0,0,2
"576",1,0,2,0,1,0,0,3
"577",2,0,0,2,2,0,0,4
"578",2,0,2,0,0,0,0,2
"579",2,0,0,0,0,0,0,0
"580",2,0,0,2,1,0,0,3
"581",5,2,1,2,2,0,0,7
"582",1,0,0,2,2,0,0,4
"583",1,2,0,2,1,0,0,5
"584",2,0,0,2,1,0,0,3
"585",2,0,0,0,1,0,0,1
"586",2,0,0,0,0,0,0,0
"587",2,2,0,2,0,0,0,4
"588",5,0,1,1,1,0,0,3
"589",2,0,0,2,1,0,0,3
"590",2,0,2,2,1,0,0,5
"591",2,0,1,0,1,0,0,2
"592",2,0,0,1,1,0,0,2
"593",5,0,0,0,1,0,0,1
"594",2,0,0,0,0,0,0,0
"595",2,0,0,0,0,0,0,0
"596",2,0,0,2,1,0,0,3
"597",2,0,0,0,0,0,0,0
"598",2,0,0,0,0,0,0,0
"599",3,0,0,0,0,0,0,0
"600",2,0,0,0,0,0,0,0
"601",2,0,0,0,0,0,0,0
"602",2,0,0,0,0,0,0,0
"603",2,0,0,0,0,0,0,0
"604",2,0,1,0,0,0,0,1
"605",2,0,0,0,0,0,0,0
"606",2,0,0,0,0,0,0,0
"607",2,0,0,0,0,0,0,0
"608",2,0,0,0,0,0,0,0
"609",2,2,0,0,0,0,0,2
"610",2,0,1,2,0,1,0,4
"611",2,0,0,0,1,0,0,1
"612",2,0,2,0,0,0,0,2
"613",2,0,2,0,0,0,0,2
"614",5,0,2,0,0,0,0,2
"615",2,0,1,0,1,0,0,2
"616",1,0,0,1,0,0,2,3
"617",2,2,2,0,0,0,0,4
"618",2,0,0,0,1,0,0,1
"619",1,3,3,0,0,0,0,6
"620",1,0,0,0,0,0,0,0
"621",2,0,2,0,1,0,0,3
"622",2,0,0,0,1,0,0,1
"623",2,2,1,2,1,0,0,6
"624",1,0,0,0,2,0,0,2
"625",5,0,1,1,1,0,0,3
"626",2,0,0,0,0,0,0,0
"627",2,0,0,0,0,0,0,0
"628",2,1,2,0,0,0,2,5
"629",5,0,0,0,1,0,0,1
"630",2,0,0,4,0,0,0,4
"631",1,0,0,0,1,0,1,2
"632",5,0,0,0,1,0,0,1
"633",5,2,1,0,1,2,1,7
"634",4,0,0,0,0,0,0,0
"635",1,0,0,0,1,0,0,1
"636",2,0,0,2,1,0,3,6
"637",4,0,0,0,0,0,0,0
"638",5,1,0,0,1,0,0,2
"639",5,0,1,0,0,0,0,1
"640",2,0,1,0,1,0,0,2
"641",1,0,0,3,1,0,0,4
"642",1,0,3,3,1,0,0,7
"643",5,2,2,0,1,0,0,5
"644",5,2,0,0,1,0,0,3
"645",1,1,2,3,1,0,0,7
"646",1,0,0,0,1,0,0,1
"647",2,0,0,0,3,0,0,3
"648",2,0,0,0,0,0,0,0
"649",1,0,0,0,1,0,0,1
"650",1,0,1,0,3,0,0,4
"651",1,0,0,0,1,0,0,1
"652",5,0,0,0,1,0,0,1
"653",2,1,1,0,1,1,3,7
"654",2,3,0,0,0,0,3,6
"655",2,0,0,0,1,0,0,1
"656",3,2,0,0,0,0,0,2
"657",1,0,0,0,1,0,0,1
"658",2,0,2,0,1,0,0,3
"659",1,0,1,1,1,0,0,3
"660",2,0,0,2,0,0,0,2
"661",2,0,2,0,0,0,0,2
"662",2,0,0,0,0,0,0,0
"663",2,2,0,0,0,0,0,2
"664",2,2,2,0,1,0,0,5
"665",1,0,2,0,0,0,0,2
"666",3,0,1,0,0,0,0,1
"667",4,2,2,0,1,0,0,5
"668",5,0,1,0,1,0,0,2
"669",2,0,0,0,0,0,0,0
"670",2,0,2,2,0,2,0,6
"671",2,0,2,2,0,2,0,6
"672",2,0,0,0,0,0,0,0
"673",4,1,0,0,0,0,0,1
"674",2,2,1,2,1,0,1,7
"675",2,0,0,0,0,0,0,0
"676",2,0,0,0,1,0,0,1
"677",5,0,3,0,1,0,0,4
"678",2,0,0,0,0,0,0,0
"679",2,1,1,0,1,2,0,5
"680",2,2,3,1,0,2,3,11
"681",2,2,0,0,1,0,0,3
"682",5,2,1,0,1,0,0,4
"683",1,2,2,2,2,2,0,10
"684",2,0,0,3,1,0,0,4
"685",2,0,1,0,0,0,0,1
"686",1,0,0,0,2,0,0,2
"687",2,0,2,0,0,0,0,2
"688",2,0,0,0,1,0,0,1
"689",2,0,1,0,0,0,0,1
"690",2,0,0,0,0,0,0,0
"691",2,0,0,0,0,0,0,0
"692",5,0,0,0,1,0,0,1
"693",5,0,0,0,0,0,0,0
"694",2,0,0,3,1,0,0,4
"695",2,0,0,3,1,0,0,4
"696",5,0,0,2,2,0,0,4
"697",2,0,0,0,1,0,0,1
"698",2,0,0,0,1,0,0,1
"699",2,0,0,0,1,0,1,2
"700",2,0,0,0,0,0,0,0
"701",2,0,0,0,0,0,0,0
"702",2,2,2,0,1,0,1,6
"703",2,0,0,0,0,0,0,0
"704",2,0,1,0,1,0,0,2
"705",2,0,0,1,0,0,0,1
"706",2,0,1,0,1,0,0,2
"707",1,0,1,0,1,0,0,2
"708",5,1,2,0,2,0,2,7
"709",1,2,1,1,0,0,2,6
"710",5,0,1,1,0,0,0,2
"711",2,3,0,0,3,0,0,6
"712",3,0,0,2,1,0,0,3
"713",2,0,0,0,0,0,2,2
"714",5,0,0,0,0,0,0,0
"715",2,0,0,0,0,0,0,0
"716",2,0,0,0,0,0,0,0
"717",2,0,0,0,1,0,0,1
"718",2,0,0,0,1,0,0,1
"719",2,2,0,2,1,0,0,5
"720",1,2,2,2,1,0,0,7
"721",5,0,1,0,0,0,0,1
"722",2,0,1,0,1,0,0,2
"723",5,1,2,2,1,2,1,9
"724",2,1,2,2,0,0,0,5
"725",3,0,0,0,0,0,0,0
"726",2,0,0,0,0,0,0,0
"727",1,0,2,0,0,0,0,2
"728",2,0,0,0,0,0,0,0
"729",3,0,0,0,0,0,0,0
"730",4,2,0,0,2,2,2,8
"731",1,0,0,0,0,0,0,0
"732",5,0,0,0,0,0,0,0
